,cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,Microsoft Academic Paper ID,WHO #Covidence,has_full_text,full_text_file,url
1344,iomao9a7,,WHO,"Overlapping and discrete aspects of the pathology and pathogenesis of the emerging human pathogenic coronaviruses SARS-CoV, MERS-CoV, and 2019-nCoV",10.1002/jmv.25709,,,unk,"Abstract First reported from Wuhan, PR China, on 31 December 2019, the ongoing outbreak of a novel coronavirus (2019-nCoV) causes great global concerns. Based on the advice of the International Health Regulations Emergency Committee and the fact that to date 24 other countries also reported cases, the WHO Director-General declared that the outbreak of 2019-nCoV constitutes a Public Health Emergency of International Concern on 30 January 2020. Together with the other two highly pathogenic coronaviruses, the severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV), 2019-nCov and other yet to be identified coronaviruses pose a global threat to public health. In this mini-review, we provide a brief introduction on the pathology and pathogenesis of SARS-CoV and MERS-CoV, and extrapolate this knowledge to the newly identified 2019-nCoV. This article is protected by copyright. All rights reserved.",2/21/20,"Liu, Jia; Zheng, Xin; Tong, Qiaoxia; Li, Wei; Wang, Baoju; Sutter, Kathrin; Trilling, Mirko; Lu, Mengji; Dittmer, Ulf; Yang, Dongliang",Journal of Medical Virology,3005949806,#856,FALSE,,https://doi.org/10.1002/jmv.25709
1676,6zlizqe9,,WHO,Bat-borne viruses in Africa: a critical review,10.1111/jzo.12769,,,unk,"Abstract In Africa, bat-borne zoonoses emerged in the past few decades resulting in large outbreaks or just sporadic spillovers. In addition, hundreds of more viruses are described without any information on zoonotic potential. We discuss important characteristics of bats including bat biology, evolution, distribution and ecology that not only make them unique among most mammals but also contribute to their potential as viral reservoirs. The detection of a virus in bats does not imply that spillover will occur and several biological, ecological and anthropogenic factors play a role in such an event. We summarize and critically analyse the current knowledge on African bats as reservoirs for corona-, filo-, paramyxo- and lyssaviruses. We highlight that important information on epidemiology, bat biology and ecology is often not available to make informed decisions on zoonotic spillover potential. Even if knowledge gaps exist, it is still important to recognize the role of bats in zoonotic disease outbreaks and implement mitigation strategies to prevent exposure to infectious agents including working safely with bats. Equally important is the crucial role of bats in various ecosystem services. This necessitates a multidisciplinary One Health approach to close knowledge gaps and ensure the development of responsible mitigation strategies to not only minimize risk of infection but also ensure conservation of the species.",2/18/20,"Markotter, W.; Coertse, J.; De Vries, L.; Geldenhuys, M.; Mortlock, M.",Journal of Zoology,1980794434,#1283,FALSE,,https://doi.org/10.1111/jzo.12769
1652,2zanmu5z,,WHO,Emergency management of the prevention and control of novel coronavirus pneumonia in specialized branches of hospital,10.1111/acem.13958,,,unk,"Abstract In December 2019, an epidemic of novel coronavirus pneumonia (NCP) broke out in Wuhan, Hubei Province. The outbreak was severe and coincided with the Spring Festival travel season. On January 15, 2020, the West China Hospital of Sichuan University, a large hospital in China, held a seminar on prevention and control in accordance with the requirements of the National Health Commission on Prevention and Control. On January 16, the emergency plan for the prevention and treatment of NCP in West China Hospital of Sichuan University was formulated for the first time.",3/9/20,"Qing, Ma Xiu; Li, Shiyu; Yu, Shaobin; Ouyang, Ying; Zeng, Ling; Li, Xiao; Li, Hai",Academic Emergency Medicine,,#5616,FALSE,,https://doi.org/10.1111/acem.13958
2099,il0prv0o,,WHO,A case report of neonatal COVID-19 infection in China | Clinical Infectious Diseases | Oxford Academic,,,,unk,"Abstract In December 2019, the 2019 novel coronavirus disease (COVID-19) caused by SARS-CoV-2 emerged in China and now has spread in many countries. Pregnant women are susceptible population of COVID-19 which are more likely to have complications and even progresse to severe illness. We report a case of neonatal COVID-19 infection in China with pharyngeal swabs tested positive by rRT-PCR assay 36 hours after birth. However, whether the case is a vertical transmission from mother to child remains to be confirmed.",,,Clinical Infectious Diseases,,#7931,FALSE,,
1674,5qlazrhw,,WHO,"COVID-19: Emerging compassion, courage and resilience in the face of misinformation and adversity",10.1111/jocn.15231,,,unk,"Abstract In her excellent editorial, ?Rising from the ashes: affirming the spirit of courage, community resilience, compassion and caring? Professor Alison Kitson raised several pertinent issues around caring in and for the world that we live in, set against the devastation caused by the Australian bushfires (Kitson 2020). Whilst watching the horrendous television footage of the Australian disaster unfolding at the beginning of the year, another news item that was beginning to gain momentum, the emergence of an unknown coronavirus disease in Mainland China.",3/10/20,"Smith, Graeme D.; Ng, Fowie; Ho Cheung Li, William",Journal of Clinical Nursing,,#5657,FALSE,,https://doi.org/10.1111/jocn.15231
1355,5trqi9tp,,WHO,A Systematic Review of Lopinavir Therapy for SARS Coronavirus and MERS Coronavirus–A Possible Reference for Coronavirus Disease-19 Treatment Option,10.1002/jmv.25729,,,unk,"Abstract In the past few decades, coronaviruses have risen as a global threat to public health. Currently, the outbreak of coronavirus disease-19 (COVID-19) from Wuhan caused a worldwide panic. There are no specific antiviral therapies for COVID-19. However, there are agents that were used during the SARS and MERS epidemics. We could learn from SARS and MERS. Lopinavir (LPV) is an effective agent that inhibits the protease activity of coronavirus. In this review, we discuss the literature on the efficacy of LPV in vitro and in vivo, especially in patients with SARS and MERS, so that we might clarify the potential for the use of LPV in patients with COVID-19. This article is protected by copyright. All rights reserved.",3/12/20,"Yao, Tian-Tian; Qian, Jian-Dan; Zhu, Wen-Yan; Wang, Yan; Wang, Gui-Qiang",Journal of Medical Virology,,#2495,FALSE,,https://doi.org/10.1002/jmv.25729
1319,khpobojv,,WHO,Global health crises are also information crises: A call to action,10.1002/asi.24357,,,unk,"Abstract In this opinion paper, we argue that global health crises are also information crises. Using as an example the coronavirus disease 2019 (COVID-19) epidemic, we (a) examine challenges associated with what we term ?global information crises?; (b) recommend changes needed for the field of information science to play a leading role in such crises; and (c) propose actionable items for short- and long-term research, education, and practice in information science.",3/13/20,"Xie, Bo; He, Daqing; Mercer, Tim; Wang, Youfa; Wu, Dan; Fleischmann, Kenneth R.; Zhang, Yan; Yoder, Linda H.; Stephens, Keri K.; Mackert, Michael; Lee, Min K.",Journal of the Association for Information Science and Technology,,#8526,FALSE,,https://doi.org/10.1002/asi.24357
1671,7zngkwoh,,WHO,Effectiveness of N95 respirators versus surgical masks against influenza: A systematic review and meta-analysis,10.1111/jebm.12381,,,unk,"Abstract Objective Previous meta-analyses concluded that there was insufficient evidence to determine the effect of N95 respirators. We aimed to assess the effectiveness of N95 respirators versus surgical masks for prevention of influenza by collecting randomized controlled trials (RCTs). Methods We searched PubMed, EMbase and The Cochrane Library from the inception to January 27, 2020 to identify relevant systematic reviews. The RCTs included in systematic reviews were identified. Then we searched the latest published RCTs from the above three databases and searched ClinicalTrials.gov for unpublished RCTs. Two reviewers independently extracted the data and assessed risk of bias. Meta-analyses were conducted to calculate pooled estimates by using RevMan 5.3 software. Results A total of six RCTs involving 9 171 participants were included. There were no statistically significant differences in preventing laboratory-confirmed influenza (RR = 1.09, 95% CI 0.92-1.28, P > .05), laboratory-confirmed respiratory viral infections (RR = 0.89, 95% CI 0.70-1.11), laboratory-confirmed respiratory infection (RR = 0.74, 95% CI 0.42-1.29) and influenzalike illness (RR = 0.61, 95% CI 0.33-1.14) using N95 respirators and surgical masks. Meta-analysis indicated a protective effect of N95 respirators against laboratory-confirmed bacterial colonization (RR = 0.58, 95% CI 0.43-0.78). Conclusion The use of N95 respirators compared with surgical masks is not associated with a lower risk of laboratory-confirmed influenza. It suggests that N95 respirators should not be recommended for general public and nonhigh-risk medical staff those are not in close contact with influenza patients or suspected patients.",3/13/20,"Long, Youlin; Hu, Tengyue; Liu, Liqin; Chen, Rui; Guo, Qiong; Yang, Liu; Cheng, Yifan; Huang, Jin; Du, Liang",Journal of Evidence-Based Medicine,,#8439,FALSE,,https://doi.org/10.1111/jebm.12381
1359,20ky3t6y,,WHO,Clinical characteristics of 50466 hospitalized patients with 2019-nCoV infection,10.1002/jmv.25735,,,unk,"Abstract Objective We aim to summarize reliable evidences of evidence-based medicine for the treatment and prevention of the 2019 novel coronavirus (2019-nCoV) by analyzing all the published studies on the clinical characteristics of patients with 2019-nCoV. Methods PubMed, Cochrane Library, Embase, and other databases were searched. Several studies on the clinical characteristics of 2019-nCoV infection were collected for Meta-analysis. Results Ten studies were included in Meta-analysis, including a total number of 50466 patients with 2019-nCoV infection. Meta-analysis shows that, among these patients, the incidence of fever was 89.1%, the incidence of cough was 72.2%, and the incidence of muscle soreness or fatigue was 42.5%. The incidence of acute respiratory distress syndrome (ARDS) was 14.8%, the incidence of abnormal chest computer tomography (CT) was 96.6%, the percentage of severe cases in all infected cases was 18.1%, and the case fatality rate of patients with 2019-nCoV infection was 4.3%. Conclusion Fever and cough are the most common symptoms in patients with 2019-nCoV infection, and most of these patients have abnormal chest CT examination. Several people have muscle soreness or fatigue as well as ARDS. Diarrhea, hemoptysis, headache, sore throat, shock, and other symptoms only occur in a small number of patients. The case fatality rate of patients with 2019-nCoV infection is lower than that of Severe Acute Respiratory Syndrome (SARS) and Middle East Respiratory Syndrome (MERS). This article is protected by copyright. All rights reserved.",3/11/20,"Sun, Pengfei; Qie, Shuyan; Liu, Zongjan; Ren, Jizhen; Li, Kun; Xi, Jianing",Journal of Medical Virology,2034423661,#2949,FALSE,,https://doi.org/10.1002/jmv.25735
1589,2ns15472,,WHO,Selection and Use of Respiratory Protection by Healthcare Workers to Protect from Infectious Diseases in Hospital Settings,10.1093/annweh/wxaa020,,,unk,"Abstract Objectives Infection control policies and guidelines recommend using facemasks and respirators to protect healthcare workers (HCWs) from respiratory infections. Common types of respirators used in healthcare settings are filtering facepiece respirators (FFRs) and powered air-purifying respirators (PAPRs). Aims of this study were to examine the current attitudes and practices of HCWs regarding the selection and use of respiratory protection and determine the acceptability of a novel PAPR. Methods In-depth interviews were undertaken with 20 HCWs from a large tertiary hospital in Sydney, Australia. Participants were fit tested with a lightweight tight-fitting half-facepiece PAPR (CleanSpace2™ Power Unit, PAF-0034, by CleanSpace Technology®) using the TSI™ Portacount quantitative fit test method. Results Interview results showed that HCWs had a limited role in the selection and use of facemasks and respirators and had been using the devices provided by the hospital. The majority of subjects had no knowledge of hospital policy for the use of facemasks and respirators, had not been trained on the use of respirators, and had not been fit tested previously. Compliance with the use of facemasks and respirators was perceived as being low and facemasks and respirators were typically used only for short periods of time. All 20 participants were successfully fit tested to the CleanSpace2™ PAPR (overall geometric mean fit factor—6768). According to the exit surveys, CleanSpace2™ PAPRs were easy to don (14/20) and doff (15/20) and comfortable to wear (14/20). Most participants believed that PAPRs provide higher protection, comfort and reusability over N95 FFR and can be used during pandemics and other high-risk situations. Conclusions HCWs should be aware of infection control policies and training should be provided on the correct use of respiratory protective devices. PAPRs can be used in hospital settings to protect HCWs from certain highly infectious and emerging pathogens, however, HCWs require adequate training on storage, use, and cleaning of PAPRs.",3/7/20,"Chughtai, Abrar Ahmad; Seale, Holly; Rawlinson, William D.; Kunasekaran, Mohana; Macintyre, C. Raina",Annals of Work Exposures and Health,2800868152,#5147,FALSE,,https://doi.org/10.1093/annweh/wxaa020
463,2s4ifz7i,b8bb4db131a25b1bbb30d4205b16dc9ef988d22f,medrxiv,Machine learning-based CT radiomics model for predicting hospital stay in patients with pneumonia associated with SARS-CoV-2 infection: A multicenter study,10.1101/2020.02.29.20029603,,,medrvix,"Abstract Objectives To develop and test machine learning-based CT radiomics models for predicting hospital stay in patients with pneumonia associated with SARS-CoV-2 infection. Design Cross-sectional Setting Multicenter Participants A total of 52 patients with laboratory-confirmed SARS-CoV-2 infection and their initial CT images were enrolled from 5 designated hospitals in Ankang, Lishui, Zhenjiang, Lanzhou, and Linxia between January 23, 2020 and February 8, 2020. As of February 20, patients remained in hospital or with non-findings in CT were excluded. Therefore, 31 patients with 72 lesion segments were included in the final analysis. Intervention CT radiomics models based on logistic regression (LR) and random forest (RF) were developed on features extracted from pneumonia lesions in training and inter-validation datasets. The predictive performance was further evaluated in test dataset on lung lobe- and patients-level. Main outcomes Short-term hospital stay (≤10 days) and long-term hospital stay (>10 days). Results The CT radiomics models based on 6 second-order features were effective in discriminating short- and long-term hospital stay in patients with pneumonia associated with SARS-CoV-2 infection, with areas under the curves of 0.97 (95%CI 0.83-1.0) and 0.92 (95%CI 0.67-1.0) by LR and RF, respectively, in the test dataset. The LR model showed a sensitivity and specificity of 1.0 and 0.89, and the RF model showed similar performance with sensitivity and specificity of 0.75 and 1.0 in test dataset. Conclusions The machine learning-based CT radiomics models showed feasibility and accuracy for predicting hospital stay in patients with pneumonia associated with SARS-CoV-2 infection.",3/3/20,Xiaolong Qi; Zicheng Jiang; QIAN YU; Chuxiao Shao; Hongguang Zhang; Hongmei Yue; Baoyi Ma; Yuancheng Wang; Chuan Liu; Xiangpan Meng; Shan Huang; Jitao Wang; Dan Xu; Junqiang Lei; Guanghang Xie; Huihong Huang; Jie Yang; Jiansong Ji; Hongqiu Pan; Shengqiang Zou; Shenghong Ju,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.29.20029603
1346,o0xwhm57,,WHO,Antibodies to Coronaviruses Are Higher in Older Compared with Younger Adults and Binding Antibodies Are More Sensitive than Neutralizing Antibodies in Identifying Coronavirus-Associated Illnesses,10.1002/jmv.25715,,,unk,"ABSTRACT Problem Human coronaviruses (HCoV) are common causes of respiratory illnesses (RI) despite pre-existing humoral immunity. Methods Sera were obtained near onset of RI and 3 to 4 weeks later as part of a prospective study of 200 subjects evaluated for RI from 2009 to 2013. Antibodies against common HCoV strains were measured by enzyme-linked immunosorbent assay (ELISA) and neutralization assay comparing older adults with cardiopulmonary diseases (99 subjects) to younger, healthy adults (101 subjects). Virus shedding was detected in respiratory secretions by polymerase chain reaction. Results Of 43 HCoV-associated illnesses, 15 (35%) occurred in 14 older adults (aged ≥ 60 years) and 28 (65%) in 28 younger adults (aged 21 to 40 years). Binding and neutralizing antibodies were higher in older adults. Only 16 (35.7%) of RI with increases in binding antibodies also had increases in neutralizing antibodies to HCoV. Increases in binding antibodies with RI were more frequent than increased neutralizing antibodies and virus shedding, and more frequent in younger compared to older adults. Conclusions Functional neutralizing antibodies were not stimulated as often as binding antibodies, explaining in part a susceptibility to reinfection with HCoV. Monitoring binding antibodies may be more sensitive for serologic detection of HCoV infections. This article is protected by copyright. All rights reserved.",3/3/20,"Gorse, Geoffrey J.; Donovan, Mary M.; Patel, Gira B.",Journal of Medical Virology,2089727343,#1307,FALSE,,https://doi.org/10.1002/jmv.25715
1386,dn9nlcgs,,WHO,Clinical and CT features in pediatric patients with COVID-19 infection: Different points from adults,10.1002/ppul.24718,,,unk,"Abstract Purpose To discuss the different characteristics of clinical, laboratory, and chest computed tomography (CT) in pediatric patients from adults with 2019 novel coronavirus (COVID-19) infection. Methods The clinical, laboratory, and chest CT features of 20 pediatric inpatients with COVID-19 infection confirmed by pharyngeal swab COVID-19 nucleic acid test were retrospectively analyzed during 23 January and 8 February 2020. The clinical and laboratory information was obtained from inpatient records. All the patients were undergone chest CT in our hospital. Results Thirteen pediatric patients (13/20, 65%) had an identified history of close contact with COVID-19 diagnosed family members. Fever (12/20, 60%) and cough (13/20, 65%) were the most common symptoms. For laboratory findings, procalcitonin elevation (16/20, 80%) should be pay attention to, which is not common in adults. Coinfection (8/20, 40%) is common in pediatric patients. A total of 6 patients presented with unilateral pulmonary lesions (6/20, 30%), 10 with bilateral pulmonary lesions (10/20, 50%), and 4 cases showed no abnormality on chest CT (4/20, 20%). Consolidation with surrounding halo sign was observed in 10 patients (10/20, 50%), ground-glass opacities were observed in 12 patients (12/20, 60%), fine mesh shadow was observed in 4 patients (4/20, 20%), and tiny nodules were observed in 3 patients (3/20, 15%). Conclusion Procalcitonin elevation and consolidation with surrounding halo signs were common in pediatric patients which were different from adults. It is suggested that underlying coinfection may be more common in pediatrics, and the consolidation with surrounding halo sign which is considered as a typical sign in pediatric patients.",3/5/20,"Xia, Wei; Shao, Jianbo; Guo, Yu; Peng, Xuehua; Li, Zhen; Hu, Daoyu",Pediatric Pulmonology,2340258942,#4404,FALSE,,https://doi.org/10.1002/ppul.24718
530,vg1vvm6f,dd14a222d0d516266debe1c487e32ad13c105291,medrxiv,"Clinical characteristics of 101 non-surviving hospitalized patients with COVID-19: A single center, retrospective study",10.1101/2020.03.04.20031039,,,medrvix,"Abstract Rationale: COVID-19 have deprived many lives in Wuhan, China and caused global concerns. Few studies focused on clinical characteristics non-survivors hospitalized with COVID-19. Objectives: We aimed to clarify the clinical characteristics of died patients with COVID-19 and tracked the causes of the rapid disease progression and death. Methods: 101 non-surviving patients with confirmed COVID-19 were included in this retrospective study. Clinical data were collected and compared between non-survivors who died within 3 days and after 3 days of admission. Multivariable regression analysis was used to analyze risk factors associated with rapid disease progression and death. Measurements and Main Results: Among included patients, median age was 71 years (IQR, 59-80), 60 (59.41%) were men. 82 (81.19%) had one or more comorbidities including hypertension (59 [58.42%]), diabetes (22 [21.78%]) etc. 100 (99.01%) suffered respiratory failure, 53 (52.48%) developed acute cardiac injury, acute kidney and liver injury occurred in 23 (22.77%) and 18 (17.82%) patients, respectively. Multivariable regression analysis showed that elevated high sensitivity troponin I (OR 2.68, 95%CI 1.31-5.49, P=0.007), neutrophils (OR 1.14, 95%CI 1.01-1.28, P=0.033) and depressed oxygen saturation (OR 0.94, 95%CI 0.89-0.99, P=0.027) on admission were associated with rapid death of patients with COVID-19. Conclusions: Older patients (>70 years) with comorbidities had a steeply increased risk of death with COVID-19. Respiratory failure, acute cardiac and kidney injury played a crucial role in the death of patients. Elevated high sensitivity troponin, neutrophils and depressed oxygen saturation predicted the rapid death of patients.",3/6/20,Qiao Shi; Kailiang Zhao; Jia Yu; Jiarui Feng; Kaiping Zhao; Xiaoyi Zhang; Xiaoyan Chen; Peng Hu; Yupu Hong; Man Li; Fang Liu; Chen Chen; Weixing Wang,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.04.20031039
1360,m4u96x2v,,WHO,Development of epitope-based peptide vaccine against novel Coronavirus 2019 (SARS-COV-2): Immunoinformatics approach,10.1002/jmv.25736,,,unk,"ABSTRACT Recently, a novel Coronavirus (SARS-COV-2) emerged which is responsible for the recent outbreak in Wuhan, China. Genetically, it is closely related to the SARS-CoV and MERS-CoV. The situation is getting worse and worse, therefore, there is an urgent need for designing a suitable peptide vaccine component against the SARS-COV-2. Here, we characterized spike glycoprotein to obtain immunogenic epitopes. Next, we chose 13 Major Histocompatibility Complex-(MHC) I and 3 MHC-II epitopes, having antigenic properties. These epitopes are usually linked to specific linkers to build vaccine components and molecularly dock on Toll-Like Receptor (TLR)-5 to get binding affinity. Therefore, in order to provide a fast immunogenic profile of these epitopes we performed immunoinformatics analysis so that rapid development of vaccine might bring this disastrous situation to the end earlier. This article is protected by copyright. All rights reserved.",3/5/20,"Bhattacharya, Manojit; Ranjan Sharma, Ashish; Patra, Prasanta; Ghosh, Pratik; Sharma, Garima; Chandra Patra, Bidhan; Lee, Sang-Soo; Chakraborty, Chiranjib",Journal of Medical Virology,3004614392,#2731,FALSE,,https://doi.org/10.1002/jmv.25736
1362,1hwcp09t,,WHO,Coronavirus disease (COVID-19) and neonate: What neonatologist need to know,10.1002/jmv.25740,,,unk,"Abstract Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) cause china epidemics with high morbidity and mortality, the infection has been transmitted to other countries. About 3 neonates and more than 230 children cases are reported. The disease condition of mainly children was mild. There is currently no evidence that SARS-CoV-2can be transmitted transplacentally from mother to the newborn. The treatment strategy for children with Coronavirus disease (COVID-19) is based on adult experience. Thus far, no deaths have been reported in the paediatric age group. This review describes the current understanding of COVID-19 infection in newborns and children. This article is protected by copyright. All rights reserved.",3/12/20,"Lu, Qi; Shi, Yuan",Journal of Medical Virology,2604381070,#2896,FALSE,,https://doi.org/10.1002/jmv.25740
1358,o8j17zzs,,WHO,Clinical trial analysis of 2019-nCoV therapy registered in China,10.1002/jmv.25733,,,unk,"Abstract So far, there is a lack of effective drugs for the new coronavirus pneumonia. With more and more patients diagnosed, China has carried out more than one hundred clinical studies of new coronavirus infection, including antiviral drugs, antimalarial drugs, glucocorticoids, plasma therapy, virus vaccine and other western drugs, while Chinese medicine researches accounted for half of studies. Most of the trials were initiated by investigators and the study period would last for one to eleven months. The primary endpoints included symptom improvement and virus nucleic acid turning negative, but the optimal endpoint has not been determined. Although the final results of studies will take a long time to complete, the interim research data may provide some help for the current urgent demand for drug treatment. Compared with that of during SARS period in 2003, China have the stronger capability to carry out clinical trials of new drugs in emergency period. This article is protected by copyright. All rights reserved.",3/5/20,"Zhang, Qi; Wang, Yakun; Qi, Changsong; Shen, Lin; Li, Jian",Journal of Medical Virology,3005811358,#3022,FALSE,,https://doi.org/10.1002/jmv.25733
1335,5dle3e3c,,WHO,Immunoinformatics-aided identification of T cell and B cell epitopes in the surface glycoprotein of 2019-nCoV,10.1002/jmv.25698,,,unk,"Abstract The 2019 novel coronavirus (2019-nCoV) outbreak has caused a large number of deaths with thousands of confirmed cases worldwide, especially in East Asia. This study took an immunoinformatics approach to identify significant cytotoxic T lymphocyte (CTL) and B cell epitopes in the 2019-nCoV surface glycoprotein. Also, interactions between identified CTL epitopes and their corresponding MHC class I supertype representatives prevalent in China were studied by molecular dynamics simulations. We identified five CTL epitopes, three sequential B cell epitopes and five discontinuous B cell epitopes in the viral surface glycoprotein. Also, during simulations, the CTL epitopes were observed to be binding MHC class I peptide-binding grooves via multiple contacts, with continuous hydrogen bonds and salt bridge anchors, indicating their potential in generating immune responses. Some of these identified epitopes can be potential candidates for development of 2019-nCoV vaccines. This article is protected by copyright. All rights reserved.",3/3/20,"Baruah, Vargab; Bose, Sujoy",Journal of Medical Virology,3005011674,#344,FALSE,,https://doi.org/10.1002/jmv.25698
1651,ocxxzf49,,WHO,Hospital Emergency Management Plan During the COVID-19 Epidemic,10.1111/acem.13951,,,unk,"Abstract The confirmed and suspected cases of the 2019 novel coronavirus disease (COVID-19) have increased not only in Wuhan, Hubei Province but also China and the world. Enormous demand for handling the COVID-19 outbreak challenged both the healthcare personnel and medical supply system. In West China Hospital, Emergency Department (ED) undertook the mission of clinical reception, primary diagnosis, and interim treatment for the suspected cases of COVID-19.",3/2/20,"Cao, Yubin; Li, Qin; Chen, Jing; Guo, Xia; Miao, Cheng; Yang, Hui; Chen, Zihang; Li, Chunjie",Academic Emergency Medicine,2322715620,#3204,FALSE,,https://doi.org/10.1111/acem.13951
1041,xkmouavc,2fe18190f7b54e589dccf1d3bbfd73e87bfd2ab9,biorxiv,Animal virus ecology and evolution are shaped by the virus host-body infiltration and colonization pattern.,10.1101/492603,,,biorxiv,"Abstract The current classification of animal viruses primarily relates to the virus molecular world, the genomic architecture and the corresponding host-cell infection cycle. This virus centered perspective does not make allowance for the precept that virus fitness hinges on the virus transmission success. Virus transmission reflects the infection-shedding-transmission dynamics and, with it, the organ system involvement and other, macroscopic dimensions of the host environment. This study examines the transmission ecology of the world main livestock viruses, 36 in total, belonging to eleven different families, and a mix of RNA, DNA and retroviruses. Viruses are virtually ranked in an outer- to inner-body fashion, based on the shifting organ system involvement and associated infection-shedding-transmission dynamics. As a next step, this ranking is disentangled with the aim to contrast two main host ecologies, poultry plus pig production and ruminant plus equine husbandry, as well as to create a distinction among the RNA, DNA and retroviruses, also ranked in an outer- to inner-body fashion. Spearman correlation reveals the matches among these various virus traits, as pertaining to the two host-ecologies, four infection-shedding-transmission related variables, and the three virus genomes. The collective results reveal the outer- to inner-body shifts in the interplay of host environment, virus-host interactions, and nature of the virus. Two opposing virus evolution pathways emerge, respectively for generalist type, outer-body and for specialist type, inner-body viruses. The ecological virus classification here presented is broadly consistent with the current virus classification system and offers the advantage of bringing substance and cohesion to the interrelationships among viruses and virus families.",12/10/18,Jan Slingenbergh,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/492603
1688,e4hmo4yc,,WHO,The Covid-19 epidemic,10.1111/tmi.13383,,,unk,"Abstract The current outbreak of the novel coronavirus Covid-19 (coronavirus disease 2019; previously 2019-nCoV), epi-centered in Hubei Province of the People's Republic of China, has spread to many other countries. On January 30, 2020, the WHO Emergency Committee declared a global health emergency based on growing case notification rates at Chinese and international locations. The case detection rate is changing hourly and daily and can be tracked in almost real time on website provided by Johns Hopkins University [1] and other websites. As of early February 2020, China bears the large burden of morbidity and mortality, whereas the incidence in other Asian countries, in Europe and North America remains low so far.",2/16/20,"Velavan, Thirumalaisamy P.; Meyer, Christian G.",Tropical Medicine & International Health,3006419170,#722,FALSE,,https://doi.org/10.1111/tmi.13383
1339,ewcv8m06,,WHO,Evolving status of the 2019 novel coronavirus Infection: proposal of conventional serologic assays for disease diagnosis and infection monitoring [Commentary/Review],10.1002/jmv.25702,,,unk,"Abstract The novel coronavirus (nCoV-2019) outbreak in Wuhan, China has spread rapidly nationwide, with some cases occurring in other parts of the world. Although most patients present with mild febrile illness with patchy pulmonary inflammation, a significant portion develop severe acute respiratory distress syndrome (ARDS), with a current case fatality of 2.3-3%. Diagnosis is based on clinical history and laboratory and chest radiographic findings, but confirmation currently relies on nucleic acid-based assays. The latter are playing an important role in facilitating patient isolation, treatment and assessment of infectious activities. However, due to their limited capacity to handle an epidemic of the current scale and insufficient supply of assay kits, only a portion of suspected cases can be tested, leading to incompleteness and inaccuracy in updating new cases, as well as delayed diagnosis. Furthermore, there has not been enough time to assess specificity and sensitivity. Conventional serological assays, such as enzyme-linked immunoassay (ELISA) for specific IgM and IgG antibodies, should offer a high-throughput alternative, which allows for uniform tests for all suspected patients, and can facilitate more complete identification of infected cases and avoidance of unnecessary cross infection among unselected patients. This article is protected by copyright. All rights reserved.",2/17/20,"Xiao, Shu-Yuan; Wu, Yingjie; Liu, Huan",Journal of Medical Virology,3005036059,#529,FALSE,,https://doi.org/10.1002/jmv.25702
1343,p7ifetgw,,WHO,Does SARS-CoV-2 has a longer incubation period than SARS and MERS?,10.1002/jmv.25708,,,unk,"Abstract The outbreak of a novel coronavirus (SARS-CoV-2) since Dec 2019 in Wuhan, the major transportation hub in central China, became an emergency of major international concern. While several etiological studies have begun to reveal the specific biological features of this virus, the epidemic characteristics need to be elucidated. Notably, a long incubation time was reported to be associated with SARS-CoV-2 infection, leading to adjustments in screening and control policies. To avoid the risk of virus spread, all potentially exposed subjects are required to be isolated for 14 days, which is the longest predicted incubation time. However, based on our analysis of a larger dataset available so far, we find there is no observable difference between the incubation time for SARS-CoV-2, SARS and MERS, highlighting the need for larger and well annotated datasets. This article is protected by copyright. All rights reserved.",2/24/20,"Jiang, Xuan; Rayner, Simon; Luo, Min-Hua",Journal of Medical Virology,3005802419,#857,FALSE,,https://doi.org/10.1002/jmv.25708
